data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,tkm_atual,preco_atual,mult_atual,data_atualizacao
2026-06-02,3,1,CMP-SAO,CMP-SAO,semi leito,MADRUGADA,23.44,27.9,1.0,
2026-06-02,3,1,RAO-SAO,RAO-SAO,semi leito,MADRUGADA,73.7,81.8,1.0,
2026-06-02,3,1,RAO-SAO,SAO-RAO,semi leito,MADRUGADA,,95.52,1.018138888888889,
2026-06-02,3,1,BHZ-IPA,BHZ-IPA,semi leito,MANHA,52.82,66.69,1.0634117647058823,
2026-06-02,3,1,BHZ-IPA,IPA-BHZ,semi leito,MANHA,71.36,95.35,1.3017,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-MCL,BHZ-MCL,semi leito,MANHA,103.04,99.1,1.3255,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-MCL,MCL-BHZ,semi leito,MANHA,94.07,106.11,1.0806,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-RIO,BHZ-RIO,semi leito,MANHA,101.35,124.61,1.1877,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-RIO,RIO-BHZ,semi leito,MANHA,98.33,99.09,1.146,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-SAO,BHZ-SAO,semi leito,MANHA,74.19,137.09,1.2039141646489093,
2026-06-02,3,1,CAB-RIO,RIO-CAB,semi leito,MANHA,38.99,48.74,1.167544821731749,
2026-06-02,3,1,CMP-SAO,CMP-SAO,semi leito,MANHA,25.23,42.89,1.064510526315789,
2026-06-02,3,1,CMP-SAO,SAO-CMP,semi leito,MANHA,22.78,47.04,1.1158,2026-05-20 21:04:34.213813
2026-06-02,3,1,CMP-SJK,SJK-CMP,semi leito,MANHA,28.83,41.9,1.0956112700228828,
2026-06-02,3,1,RAO-SAO,RAO-SAO,semi leito,MANHA,58.9,79.9,1.0185872160745495,
2026-06-02,3,1,RAO-SAO,SAO-RAO,semi leito,MANHA,62.12,78.9,1.0061591721091048,
2026-06-02,3,1,RIO-SAO,RIO-SAO,semi leito,MANHA,83.77,104.39,1.0556,2026-05-20 21:04:34.213813
2026-06-02,3,1,RIO-SAO,SAO-RIO,semi leito,MANHA,96.98,115.96,1.1001,2026-05-20 21:04:34.213813
2026-06-02,3,1,SAO-SJK,SAO-SJK,semi leito,MANHA,18.6,27.9,1.3349,2026-05-20 21:04:34.213813
2026-06-02,3,1,SAO-SJK,SJK-SAO,semi leito,MANHA,22.9,33.9,1.197076335877863,
2026-06-02,3,1,ANG-BHZ,ANG-BHZ,semi leito,NOITE,131.98,152.86,1.0,
2026-06-02,3,1,ANG-BHZ,BHZ-ANG,semi leito,NOITE,124.7,164.26,1.0731249999999999,
2026-06-02,3,1,ARB-SAO,ARB-SAO,semi leito,NOITE,123.46,123.55,1.2215,2026-05-20 21:04:34.213813
2026-06-02,3,1,ARB-SAO,SAO-ARB,semi leito,NOITE,172.17,205.94,1.4756,2026-05-20 21:04:34.213813
2026-06-02,3,1,BAT-SAO,SAO-BAT,semi leito,NOITE,114.02,183.51,1.1587,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-BSB,BHZ-BSB,semi leito,NOITE,,134.56,1.2644,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-BSB,BSB-BHZ,leito,NOITE,172.07,236.12,1.1571,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-CAB,BHZ-CAB,semi leito,NOITE,163.58,248.29,1.2549247702647055,
2026-06-02,3,1,BHZ-CAB,CAB-BHZ,semi leito,NOITE,115.9,135.81,1.0,
2026-06-02,3,1,BHZ-CDG,BHZ-CDG,semi leito,NOITE,84.4,158.45,1.3004,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-CDG,CDG-BHZ,semi leito,NOITE,112.11,165.55,1.2539,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-CMP,BHZ-CMP,leito,NOITE,,286.77,1.0523,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-CMP,CMP-BHZ,semi leito,NOITE,171.59,165.66,1.0639,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-GYN,BHZ-GYN,semi leito,NOITE,150.43,173.63,1.2346,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-GYN,GYN-BHZ,semi leito,NOITE,134.44,151.12,1.0595,2026-05-20 21:04:34.213813
2026-06-02,3,1,BHZ-IPA,BHZ-IPA,semi leito,NOITE,,110.14,1.1498461068211068,
2026-06-02,3,1,BHZ-IPA,IPA-BHZ,semi leito,NOITE,78.78,100.9,1.1812,2026-05-20 21:04:34.213813
