data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,tkm_atual,preco_atual,mult_atual,data_atualizacao
2026-07-02,5,22,CMP-SAO,CMP-SAO,semi leito,MADRUGADA,20.9,34.9,1.3339289855072463,
2026-07-02,5,22,RAO-SAO,RAO-SAO,semi leito,MADRUGADA,91.23,89.9,1.0905180952380953,
2026-07-02,5,22,RAO-SAO,SAO-RAO,semi leito,MADRUGADA,90.9,77.9,1.0,
2026-07-02,5,22,RIO-SAO,RIO-SAO,semi leito,MADRUGADA,57.9,94.66,1.0,
2026-07-02,5,22,BAT-SAO,BAT-SAO,semi leito,MANHA,111.0,170.9,1.377917454068242,
2026-07-02,5,22,BAT-SAO,SAO-BAT,semi leito,MANHA,85.9,141.9,1.2113784722222223,
2026-07-02,5,22,BHZ-DTI,BHZ-DTI,semi leito,MANHA,31.9,79.9,1.0,
2026-07-02,5,22,BHZ-DTI,DTI-BHZ,semi leito,MANHA,,79.9,1.0,
2026-07-02,5,22,BHZ-IPA,BHZ-IPA,semi leito,MANHA,54.9,83.9,1.150258876811594,
2026-07-02,5,22,BHZ-IPA,IPA-BHZ,semi leito,MANHA,55.9,85.9,1.0531980519480528,
2026-07-02,5,22,BHZ-MCL,BHZ-MCL,semi leito,MANHA,76.9,107.9,1.2398452380952392,
2026-07-02,5,22,BHZ-MCL,MCL-BHZ,semi leito,MANHA,91.4,97.66,1.073648051948052,
2026-07-02,5,22,BHZ-RIO,BHZ-RIO,semi leito,MANHA,85.9,98.9,1.0244014084507043,
2026-07-02,5,22,BHZ-RIO,RIO-BHZ,semi leito,MANHA,108.9,110.9,1.218457101658256,
2026-07-02,5,22,BHZ-SAO,BHZ-SAO,semi leito,MANHA,119.9,110.9,1.0811296666666665,
2026-07-02,5,22,BHZ-SAO,SAO-BHZ,semi leito,MANHA,99.9,111.62,1.163694318181818,
2026-07-02,5,22,CAB-JDF,JDF-CAB,semi leito,MANHA,,66.22,1.022,
2026-07-02,5,22,CAB-RIO,CAB-RIO,semi leito,MANHA,,48.9,1.0,
2026-07-02,5,22,CAB-RIO,RIO-CAB,semi leito,MANHA,42.9,60.9,1.2375700280112045,
2026-07-02,5,22,CDG-RIO,CDG-RIO,semi leito,MANHA,63.9,90.9,1.1141620689655172,
2026-07-02,5,22,CDG-RIO,RIO-CDG,semi leito,MANHA,65.73,98.6,1.2152309523809512,
