data,data_ref_pascoa_2026,metrica,pascoa_2026,atual
2026-06-03,2026-04-01,01. RASK,0.03184120192277804,0.0791089658112531
2026-06-03,2026-04-01,02. Yield,0.27262231625762745,0.34134946583177084
2026-06-03,2026-04-01,03. Buscas,84585.0,240037.0
2026-06-03,2026-04-01,04. Grupos Realizados,241.0,358.0
2026-06-03,2026-04-01,05. Pax Total,1265.0,3457.0
2026-06-03,2026-04-01,06. ASK,5790788.0,7890842.0
2026-06-03,2026-04-01,07. RPK,676341.0,1828731.0
2026-06-03,2026-04-01,08. Load Factor,0.11679602154318203,0.23175359486351393
2026-06-03,2026-04-01,09. Ticket Médio,145.7594071146245,180.5716951113682
2026-06-03,2026-04-01,10. GMV,190334.50000000003,654677.97
2026-06-04,2026-04-02,01. RASK,0.04613235188470334,0.022672717797049657
2026-06-04,2026-04-02,02. Yield,0.3131512177671466,0.21414087505576998
2026-06-04,2026-04-02,03. Buscas,214228.0,117500.0
2026-06-04,2026-04-02,04. Grupos Realizados,325.0,357.0
2026-06-04,2026-04-02,05. Pax Total,2194.0,1632.0
2026-06-04,2026-04-02,06. ASK,7628044.0,7790280.0
2026-06-04,2026-04-02,07. RPK,1123737.0,824816.0
2026-06-04,2026-04-02,08. Load Factor,0.1473165335700738,0.10587758078015168
2026-06-04,2026-04-02,09. Ticket Médio,160.3918003646308,108.22721813725487
2026-06-04,2026-04-02,10. GMV,370532.87000000005,183897.77000000005
2026-06-05,2026-04-04,01. RASK,0.02112642533480862,0.010627294728487308
2026-06-05,2026-04-04,02. Yield,0.23985958045091063,0.1976461181845668
2026-06-05,2026-04-04,03. Buscas,30044.0,86813.0
2026-06-05,2026-04-04,04. Grupos Realizados,191.0,383.0
2026-06-05,2026-04-04,05. Pax Total,719.0,947.0
2026-06-05,2026-04-04,06. ASK,3851902.0,8304087.0
2026-06-05,2026-04-04,07. RPK,339269.0,446505.0
2026-06-05,2026-04-04,08. Load Factor,0.08807830521129562,0.05376930660769811
2026-06-05,2026-04-04,09. Ticket Médio,113.18069541029205,93.18899683210137
2026-06-05,2026-04-04,10. GMV,83583.09999999999,91646.17
2026-06-06,2026-04-04,01. RASK,0.01941083621013338,0.024144430528464586
2026-06-06,2026-04-04,02. Yield,0.23650461288562327,0.2453327982737118
2026-06-06,2026-04-04,03. Buscas,23596.0,30138.0
2026-06-06,2026-04-04,04. Grupos Realizados,190.0,218.0
2026-06-06,2026-04-04,05. Pax Total,666.0,849.0
2026-06-06,2026-04-04,06. ASK,3840494.0,4228552.0
2026-06-06,2026-04-04,07. RPK,315204.0,416153.0
2026-06-06,2026-04-04,08. Load Factor,0.08207381654547566,0.09841501298789751
2026-06-06,2026-04-04,09. Ticket Médio,111.9327327327327,120.25439340400467
2026-06-06,2026-04-04,10. GMV,76526.4,104759.1
2026-06-07,2026-04-05,01. RASK,0.05211555989960273,0.07165161707192436
2026-06-07,2026-04-05,02. Yield,0.35625584385793174,0.36629108462482596
2026-06-07,2026-04-05,03. Buscas,60420.0,78536.0
2026-06-07,2026-04-05,04. Grupos Realizados,377.0,433.0
2026-06-07,2026-04-05,05. Pax Total,2497.0,3624.0
2026-06-07,2026-04-05,06. ASK,8463178.0,9375557.0
2026-06-07,2026-04-05,07. RPK,1238052.0,1833989.0
2026-06-07,2026-04-05,08. Load Factor,0.14628689128362893,0.19561387126119548
2026-06-07,2026-04-05,09. Ticket Médio,176.63726872246696,185.36805187637967
2026-06-07,2026-04-05,10. GMV,449522.30000000005,683048.5999999999
