data_ref_corpus_2025,data_ref_pascoa_2026,data_ref_maio_2026,data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,buscas_corpus_2025,buscas_pascoa_2026,buscas_maio_2026,buscas_corpus_2026,pax_atual,capacidade_atual,vagas_restantes,ocupacao_atual,lf_corpus_2025,lf_pascoa_2026,lf_maio_2026,lf_atual,ratio_lf_corpus_2025,ratio_lf_pascoa_2026,ratio_lf_maio_2026,price_cc,tkm_corpus_2025,tkm_pascoa_2026,tkm_maio_2026,tkm_atual,mult_atual_aplicado,data_atualizacao,preco_cenario_atual,mult_flutuacao,preco_flutuacao,preco_maximo_feriado
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,CMP-SAO,CMP-SAO,semi leito,MADRUGADA,722.0,951.0,859.0,312.0,24.0,47.0,23.0,0.5106,0.7579,0.7708,0.5306,0.4023,0.5308,0.522,0.7582,55.212962962962955,23.68,23.44,25.23,23.44,1.0,,27.9,0.9999937499999999,27.9,41.8
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,RAO-SAO,RAO-SAO,semi leito,MADRUGADA,1186.0,1342.0,1593.0,668.0,35.0,53.0,18.0,0.6604,0.5613,0.5297,0.8871,0.5426,0.9667,1.0243,0.6117,151.97833333333335,,65.38,77.45,73.7,1.0,,77.9,1.05,81.8,148.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,RAO-SAO,SAO-RAO,semi leito,MADRUGADA,956.0,1543.0,1253.0,506.0,,,,0.0,0.5261,0.763,0.6773,0.4412,0.8386,0.5783,0.6514,160.5825,,65.38,77.45,,1.018138888888889,,79.9,1.1954799999999999,95.52,148.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-IPA,BHZ-IPA,semi leito,MANHA,302.0,830.0,503.0,261.0,12.0,42.0,30.0,0.2857,0.4258,0.2679,0.3214,0.2284,0.5365,0.8528,0.7108,133.87090909090907,59.875,87.655,62.28,52.82,1.0634117647058823,,73.9,0.9025,66.69,154.7
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-IPA,IPA-BHZ,semi leito,MANHA,335.0,461.0,757.0,197.0,13.0,42.0,29.0,0.3095,0.5862,0.7077,0.7496,0.2779,0.474,0.3927,0.3707,129.79999999999998,59.875,87.655,62.28,71.36,1.3017,2026-05-20 21:04:34.213813,100.9,0.9450000364635647,95.35,154.7
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-MCL,BHZ-MCL,semi leito,MANHA,634.0,1601.0,788.0,396.0,7.0,64.0,57.0,0.1094,0.4262,0.2667,0.4,0.1036,0.2432,0.3886,0.2591,223.94000000000003,69.72,110.535,88.27000000000001,103.04,1.3255,2026-05-20 21:04:34.213813,115.9,0.8550121280859375,99.1,189.9
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-MCL,MCL-BHZ,semi leito,MANHA,488.0,1131.0,635.0,327.0,23.0,64.0,41.0,0.3594,0.4004,0.3941,0.3854,0.3559,0.8888,0.9031,0.9234,218.49,69.72,110.535,88.27000000000001,94.07,1.0806,2026-05-20 21:04:34.213813,93.9,1.13,106.11,189.9
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-RIO,BHZ-RIO,semi leito,MANHA,2466.0,6734.0,4146.0,1764.0,31.0,60.0,29.0,0.5167,0.615,0.9225,0.7924,0.4593,0.7468,0.4978,0.5796,187.71727272727264,92.36,134.46,130.72,101.35,1.1877,2026-05-20 21:04:34.213813,107.9,1.1548687499999999,124.61,305.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-RIO,RIO-BHZ,semi leito,MANHA,1483.0,2184.0,1704.0,951.0,30.0,60.0,30.0,0.5,0.5799,0.8638,0.6452,0.4399,0.7586,0.5093,0.6819,183.98999999999995,92.36,134.46,130.72,98.33,1.146,2026-05-20 21:04:34.213813,115.9,0.8550000312476563,99.09,305.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-SAO,BHZ-SAO,semi leito,MANHA,1951.0,3268.0,3464.0,1271.0,34.0,44.0,10.0,0.7727,0.5088,0.8061,0.8899,0.5305,1.0427,0.6581,0.5961,166.09681818181815,74.55000000000001,,,74.19,1.2039141646489093,,108.9,1.258905099375,137.09,301.5
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,CAB-RIO,RIO-CAB,semi leito,MANHA,297.0,526.0,363.0,128.0,11.0,45.0,34.0,0.2444,0.3947,0.684,0.8923,0.2121,0.5375,0.3101,0.2377,89.85600000000002,30.19,43.980000000000004,,38.99,1.167544821731749,,57.9,0.8418356588371974,48.74,105.57
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,CMP-SAO,CMP-SAO,semi leito,MANHA,722.0,951.0,859.0,312.0,18.0,46.0,28.0,0.3913,0.8478,0.6304,0.7826,0.3913,0.4615,0.6207,0.5,55.589240506329126,21.33,27.625,28.18,25.23,1.064510526315789,,38.9,1.1025,42.89,41.8
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,CMP-SAO,SAO-CMP,semi leito,MANHA,555.0,790.0,672.0,304.0,34.0,93.0,59.0,0.3656,0.5999,0.5677,0.436,0.3445,0.5744,0.6069,0.7902,54.89578313253013,21.33,27.625,28.18,22.78,1.1158,2026-05-20 21:04:34.213813,40.9,1.15,47.04,41.8
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,CMP-SJK,SJK-CMP,semi leito,MANHA,28.0,39.0,29.0,13.0,14.0,46.0,32.0,0.3043,0.4283,0.4202,0.3454,0.1242,0.29,0.2956,0.3597,78.0875,,29.24,30.55,28.83,1.0956112700228828,,41.9,1.0,41.9,83.0
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,RAO-SAO,RAO-SAO,semi leito,MANHA,1186.0,1342.0,1593.0,668.0,23.0,46.0,23.0,0.5,0.5955,0.5388,0.953,0.4106,0.6895,0.762,0.4308,155.36200000000002,53.93,60.78,62.36,58.9,1.0185872160745495,,79.9,1.0,79.9,148.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,RAO-SAO,SAO-RAO,semi leito,MANHA,956.0,1543.0,1253.0,506.0,45.0,92.0,47.0,0.4891,0.4342,0.7294,0.7247,0.41,0.9444,0.5622,0.5658,159.97631578947374,53.93,60.78,62.36,62.12,1.0061591721091048,,78.9,1.0,78.9,148.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,RIO-SAO,RIO-SAO,semi leito,MANHA,3014.0,2950.0,2839.0,1632.0,30.0,58.0,28.0,0.5172,0.5853,0.6934,0.5154,0.4741,0.8099,0.6836,0.9199,129.8311827956988,80.635,104.985,96.145,83.77,1.0556,2026-05-20 21:04:34.213813,94.9,1.1,104.39,264.6
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,RIO-SAO,SAO-RIO,semi leito,MANHA,4310.0,4748.0,5138.0,2733.0,65.0,112.0,47.0,0.5804,0.7351,0.3609,0.4942,0.5534,0.7528,1.5332,1.1198,124.89387096774185,80.635,104.985,96.145,96.98,1.1001,2026-05-20 21:04:34.213813,87.9,1.31919375,115.96,264.6
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,SAO-SJK,SAO-SJK,semi leito,MANHA,341.0,459.0,390.0,206.0,10.0,42.0,32.0,0.2381,0.3358,0.4792,0.3965,0.1725,0.5136,0.3599,0.435,51.87575757575756,23.96,21.085,23.5,18.6,1.3349,2026-05-20 21:04:34.213813,27.9,1.0,27.9,55.2
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,SAO-SJK,SJK-SAO,semi leito,MANHA,396.0,444.0,422.0,174.0,7.0,42.0,35.0,0.1667,0.4797,0.6749,0.9423,0.3966,0.8268,0.5877,0.4209,45.038421052631634,23.96,21.085,23.5,22.9,1.197076335877863,,33.9,1.0,33.9,55.2
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,ANG-BHZ,ANG-BHZ,semi leito,NOITE,58.0,80.0,129.0,20.0,12.0,43.0,31.0,0.2791,0.2651,0.6017,0.653,0.254,0.958,0.4221,0.389,,93.3,185.965,133.63,131.98,1.0,,160.9,0.9500000007403324,152.86,397.6
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,ANG-BHZ,BHZ-ANG,semi leito,NOITE,159.0,391.0,214.0,85.0,20.0,46.0,26.0,0.4348,0.7553,0.9314,0.6577,0.3552,0.4703,0.3814,0.5401,314.99,93.3,185.965,133.63,124.7,1.0731249999999999,,172.9,0.95,164.26,397.6
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,ARB-SAO,ARB-SAO,semi leito,NOITE,268.0,336.0,545.0,160.0,16.0,60.0,44.0,0.2667,0.7957,0.786,0.8158,0.3425,0.4304,0.4357,0.4198,192.3846153846154,117.405,172.85,135.135,123.46,1.2215,2026-05-20 21:04:34.213813,136.9,0.9024750000003646,123.55,317.4
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,ARB-SAO,SAO-ARB,semi leito,NOITE,317.0,438.0,326.0,196.0,30.0,60.0,30.0,0.5,0.5589,0.7099,0.7043,0.5988,1.0713,0.8434,0.8501,187.8421052631579,117.405,172.85,135.135,172.17,1.4756,2026-05-20 21:04:34.213813,156.9,1.3125248564097458,205.94,317.4
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BAT-SAO,SAO-BAT,semi leito,NOITE,181.0,361.0,191.0,160.0,50.0,90.0,40.0,0.5556,0.9665,0.8583,0.8384,0.5013,0.5187,0.584,0.5979,243.69999999999996,105.37,120.375,112.36,114.02,1.1587,2026-05-20 21:04:34.213813,158.9,1.1548687499999999,183.51,252.3
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-BSB,BHZ-BSB,semi leito,NOITE,477.0,843.0,727.0,432.0,,,,0.0,0.6,0.8222,0.6818,0.4425,0.7374,0.5381,0.649,210.49352941176468,,,,,1.2644,2026-05-20 21:04:34.213813,140.9,0.955,134.56,428.62
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-BSB,BSB-BHZ,leito,NOITE,407.0,936.0,562.0,331.0,36.0,46.0,10.0,0.7826,0.4891,0.8444,0.6583,0.7826,1.6,0.9268,1.1888,212.8841666666667,,,,172.07,1.1571,2026-05-20 21:04:34.213813,174.9,1.35,236.12,428.62
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-CAB,BHZ-CAB,semi leito,NOITE,837.0,5278.0,2181.0,962.0,157.0,160.0,3.0,0.9813,0.9626,0.9244,0.8807,0.9259,0.9619,1.0017,1.0513,217.41857142857143,134.91,169.175,181.74,163.58,1.2549247702647055,,180.9,1.3725036108984376,248.29,496.32
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-CAB,CAB-BHZ,semi leito,NOITE,537.0,803.0,911.0,269.0,69.0,132.0,63.0,0.5227,0.3221,0.8034,0.7345,0.4191,1.3012,0.5216,0.5706,184.48999999999998,134.91,169.175,181.74,115.9,1.0,,150.9,0.9,135.81,496.32
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-CDG,BHZ-CDG,semi leito,NOITE,117.0,112.0,88.0,51.0,18.0,40.0,22.0,0.45,0.8279,0.0,0.5616,0.2835,0.3424,,0.5047,204.13,79.71000000000001,,85.43,84.4,1.3004,2026-05-20 21:04:34.213813,150.9,1.05,158.45,287.4
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-CDG,CDG-BHZ,semi leito,NOITE,100.0,157.0,100.0,79.0,28.0,41.0,13.0,0.6829,0.8369,0.0,0.0,0.565,0.6751,,,199.44,79.71000000000001,,85.43,112.11,1.2539,2026-05-20 21:04:34.213813,130.9,1.264725,165.55,287.4
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-CMP,BHZ-CMP,leito,NOITE,354.0,555.0,338.0,189.0,,,,0.0,0.804,0.6182,0.5791,0.5471,0.6804,0.8849,0.9446,182.3790909090909,132.75,274.35,230.1,,1.0523,2026-05-20 21:04:34.213813,189.9,1.510122471319186,286.77,369.18
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-CMP,CMP-BHZ,semi leito,NOITE,315.0,577.0,287.0,256.0,13.0,40.0,27.0,0.325,0.8817,0.8642,0.9272,0.3018,0.3423,0.3493,0.3255,189.85625,132.75,274.35,230.1,171.59,1.0639,2026-05-20 21:04:34.213813,107.9,1.535353905054978,165.66,369.18
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-GYN,BHZ-GYN,semi leito,NOITE,357.0,538.0,347.0,270.0,49.0,60.0,11.0,0.8167,0.7813,0.8556,0.9037,0.7458,0.9546,0.8717,0.8253,251.87,111.96000000000001,157.195,122.96000000000001,150.43,1.2346,2026-05-20 21:04:34.213813,118.9,1.4603072314045644,173.63,368.34
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-GYN,GYN-BHZ,semi leito,NOITE,246.0,401.0,253.0,202.0,56.0,60.0,4.0,0.9333,0.8216,0.8228,0.7437,0.7559,0.92,0.9187,1.0164,221.0,111.96000000000001,157.195,122.96000000000001,134.44,1.0595,2026-05-20 21:04:34.213813,106.9,1.4136824402518933,151.12,368.34
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-IPA,BHZ-IPA,semi leito,NOITE,302.0,830.0,503.0,261.0,,,,0.0,0.6505,0.686,0.6081,0.3003,0.4616,0.4377,0.4938,134.74375,64.54499999999999,112.23,87.1,,1.1498461068211068,,99.9,1.1025,110.14,154.7
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-IPA,IPA-BHZ,semi leito,NOITE,335.0,461.0,757.0,197.0,26.0,44.0,18.0,0.5909,0.5805,0.8245,0.8328,0.3033,0.5225,0.3679,0.3642,129.8,64.54499999999999,112.23,87.1,78.78,1.1812,2026-05-20 21:04:34.213813,100.9,1.0,100.9,154.7
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-MCE,BHZ-MCE,semi leito,NOITE,73.0,176.0,51.0,65.0,17.0,45.0,28.0,0.3778,0.6561,0.7729,0.0,0.3167,0.4827,0.4097,,446.99,111.845,187.07,,130.31,1.3215986111111109,,241.9,0.9501187499999911,229.83,503.81
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-MCE,MCE-BHZ,semi leito,NOITE,97.0,84.0,88.0,45.0,14.0,45.0,31.0,0.3111,0.6093,0.0,0.0,0.2889,0.4741,,,258.025,111.845,187.07,,139.11,1.0528947368421055,,192.9,1.20999375,233.41,503.81
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-MCL,BHZ-MCL,semi leito,NOITE,634.0,1601.0,788.0,396.0,44.0,64.0,20.0,0.6875,0.9749,0.9885,0.9923,0.6837,0.7013,0.6916,0.6889,225.00090909090906,81.235,161.05,129.08499999999998,124.22,1.1552,2026-05-20 21:04:34.213813,110.9,1.3189007499609375,146.27,189.9
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-MCL,MCL-BHZ,semi leito,NOITE,488.0,1131.0,635.0,327.0,46.0,64.0,18.0,0.7188,0.6655,0.9487,0.9796,0.7188,1.0799,0.7576,0.7337,230.38846153846154,81.235,161.05,129.08499999999998,126.75,1.0826,2026-05-20 21:04:34.213813,109.9,1.362226737685503,149.71,189.9
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,1,BHZ-RAO,BHZ-RAO,semi leito,NOITE,138.0,198.0,159.0,83.0,29.0,60.0,31.0,0.4833,0.5346,0.5744,0.716,0.3727,0.6971,0.6489,0.5205,200.85666666666665,128.215,170.175,160.495,173.31,1.2261021582733798,,176.9,1.1549999999999998,204.32,392.2
