data_ref_julho_2025,data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,buscas_julho_2025,buscas_julho_2026,pax_atual,capacidade_atual,vagas_restantes,ocupacao_atual,lf_julho_2025,lf_atual,ratio_lf_julho_2025,price_cc,tkm_julho_2025,tkm_atual,mult_atual_aplicado,data_atualizacao,preco_cenario_atual,mult_flutuacao,preco_flutuacao,preco_maximo_feriado
2025-07-03,2026-07-02,5,22,CMP-SAO,CMP-SAO,semi leito,MADRUGADA,43.0,53.0,1.0,47.0,46.0,0.0213,0.0251,0.0145,0.577,55.838636363636354,28.92,20.9,1.3339289855072463,,34.9,,34.9,41.8
2025-07-03,2026-07-02,5,22,RAO-SAO,RAO-SAO,semi leito,MADRUGADA,183.0,180.0,3.0,106.0,103.0,0.0283,0.0701,0.0255,0.3639,152.44666666666666,,91.23,1.0905180952380953,,89.9,1.0,89.9,148.52
2025-07-03,2026-07-02,5,22,RAO-SAO,SAO-RAO,semi leito,MADRUGADA,122.0,123.0,2.0,46.0,44.0,0.0435,0.0425,0.0414,0.9759,153.33249999999998,,90.9,1.0,,77.9,1.0,77.9,148.52
2025-07-03,2026-07-02,5,22,RIO-SAO,RIO-SAO,semi leito,MADRUGADA,789.0,739.0,3.0,56.0,53.0,0.0536,0.1156,0.0536,0.4633,101.54394736842103,,57.9,1.0,,94.9,0.9974999999999999,94.66,264.6
2025-07-03,2026-07-02,5,22,BAT-SAO,BAT-SAO,semi leito,MANHA,59.0,46.0,10.0,45.0,35.0,0.2222,0.2382,0.1923,0.8073,199.27499999999998,101.69,111.0,1.377917454068242,,170.9,1.0,170.9,252.3
2025-07-03,2026-07-02,5,22,BAT-SAO,SAO-BAT,semi leito,MANHA,50.0,36.0,6.0,45.0,39.0,0.1333,0.1196,0.1333,1.1149,223.725,101.69,85.9,1.2113784722222223,,141.9,1.0,141.9,252.3
2025-07-03,2026-07-02,5,22,BHZ-DTI,BHZ-DTI,semi leito,MANHA,24.0,34.0,1.0,46.0,45.0,0.0217,0.0351,0.0126,0.3593,177.87,46.885000000000005,31.9,1.0,,79.9,,79.9,189.44
2025-07-03,2026-07-02,5,22,BHZ-DTI,DTI-BHZ,semi leito,MANHA,11.0,18.0,,46.0,46.0,0.0,0.0179,0.0,0.0,151.53875,46.885000000000005,,1.0,,79.9,,79.9,189.44
2025-07-03,2026-07-02,5,22,BHZ-IPA,BHZ-IPA,semi leito,MANHA,29.0,19.0,1.0,42.0,41.0,0.0238,0.0365,0.0238,0.653,133.73199999999997,61.739999999999995,54.9,1.150258876811594,,83.9,1.0,83.9,154.7
2025-07-03,2026-07-02,5,22,BHZ-IPA,IPA-BHZ,semi leito,MANHA,19.0,49.0,1.0,42.0,41.0,0.0238,0.0436,0.0238,0.5456,129.79999999999998,61.739999999999995,55.9,1.0531980519480528,,85.9,1.0,85.9,154.7
2025-07-03,2026-07-02,5,22,BHZ-MCL,BHZ-MCL,semi leito,MANHA,91.0,94.0,1.0,64.0,63.0,0.0156,0.0287,0.0156,0.5442,188.81999999999996,88.78999999999999,76.9,1.2398452380952392,,107.9,1.0,107.9,189.9
