output_label,periodo_historico,periodo_atual,secao,data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,tkm_atual,preco_atual,mult_atual,data_atualizacao
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CMP-SAO,CMP-SAO,semi leito,MADRUGADA,20.9,35.9,1.3339289855072463,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RAO-SAO,RAO-SAO,leito individual,MADRUGADA,93.15,,1.0905180952380953,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RAO-SAO,RAO-SAO,semi leito,MADRUGADA,93.15,89.9,1.0905180952380953,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RAO-SAO,RAO-SAO,leito,MADRUGADA,93.15,,1.0905180952380953,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RAO-SAO,SAO-RAO,semi leito,MADRUGADA,90.9,77.9,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-SAO,RIO-SAO,leito individual,MADRUGADA,77.65,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-SAO,RIO-SAO,leito,MADRUGADA,77.65,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-SAO,RIO-SAO,semi leito,MADRUGADA,77.65,94.66,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BAT-SAO,BAT-SAO,semi leito,MANHA,120.63,187.99,1.377917454068242,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BAT-SAO,SAO-BAT,semi leito,MANHA,85.9,141.9,1.2113784722222223,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-DTI,BHZ-DTI,semi leito,MANHA,31.9,79.9,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-DTI,DTI-BHZ,semi leito,MANHA,,79.9,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-IPA,BHZ-IPA,semi leito,MANHA,54.9,83.9,1.150258876811594,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-IPA,IPA-BHZ,semi leito,MANHA,55.9,85.9,1.0531980519480528,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCL,BHZ-MCL,leito individual,MANHA,76.9,,1.2398452380952392,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCL,BHZ-MCL,leito,MANHA,76.9,,1.2398452380952392,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCL,BHZ-MCL,semi leito,MANHA,76.9,107.9,1.2398452380952392,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCL,MCL-BHZ,leito,MANHA,91.4,,1.073648051948052,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCL,MCL-BHZ,semi leito,MANHA,91.4,97.66,1.073648051948052,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-MCL,MCL-BHZ,leito individual,MANHA,91.4,,1.073648051948052,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,BHZ-RIO,semi leito,MANHA,85.9,98.9,1.0244014084507043,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,BHZ-RIO,leito individual,MANHA,85.9,,1.0244014084507043,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,BHZ-RIO,leito,MANHA,85.9,,1.0244014084507043,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,RIO-BHZ,leito,MANHA,108.9,,1.218457101658256,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,RIO-BHZ,leito individual,MANHA,108.9,,1.218457101658256,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,BHZ-RIO,RIO-BHZ,semi leito,MANHA,108.9,110.9,1.218457101658256,
