output_label,periodo_historico,periodo_atual,secao,data_atual,data_ref_julho_2025,metrica,julho_2025,julho_2026
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-02,2025-07-03,01. RASK,0.01711690640410559,0.018893213425721166
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-02,2025-07-03,02. Yield,0.1918067294664172,0.21226222980129777
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-02,2025-07-03,03. Buscas,6002.0,6398.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-02,2025-07-03,04. Grupos Realizados,263.0,317.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-02,2025-07-03,05. Pax Total,1053.0,1165.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-02,2025-07-03,06. ASK,6460262.0,7529130.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-02,2025-07-03,07. RPK,557964.0,643878.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-02,2025-07-03,08. Load Factor,0.08636863334644941,0.08551824712815424
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-02,2025-07-03,09. Ticket Médio,101.63461538461539,117.31414592274679
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-02,2025-07-03,10. GMV,110579.7,142249.46
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-03,2025-07-04,01. RASK,0.016973349452789905,0.018500206766227344
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-03,2025-07-04,02. Yield,0.20782479472969825,0.21975377434402657
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-03,2025-07-04,03. Buscas,9792.0,10412.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-03,2025-07-04,04. Grupos Realizados,338.0,392.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-03,2025-07-04,05. Pax Total,1231.0,1429.0
