data_atual,data_ref_julho_2025,metrica,julho_2025,julho_2026
2026-07-02,2025-07-03,01. RASK,0.014847544204078234,0.01628768269915185
2026-07-02,2025-07-03,02. Yield,0.19180623164209282,0.2126502214467857
2026-07-02,2025-07-03,03. Buscas,5569.0,5869.0
2026-07-02,2025-07-03,04. Grupos Realizados,261.0,319.0
2026-07-02,2025-07-03,05. Pax Total,903.0,1006.0
2026-07-02,2025-07-03,06. ASK,6442392.0,7585079.0
2026-07-02,2025-07-03,07. RPK,482762.0,558825.0
2026-07-02,2025-07-03,08. Load Factor,0.07493521040011225,0.07367424914097796
2026-07-02,2025-07-03,09. Ticket Médio,102.54347729789588,118.12550695825051
2026-07-02,2025-07-03,10. GMV,95653.69999999998,123543.36
2026-07-03,2025-07-04,01. RASK,0.014814505890380558,0.015620705506560945
2026-07-03,2025-07-04,02. Yield,0.20487333444386005,0.2191054538967496
2026-07-03,2025-07-04,03. Buscas,8974.0,9535.0
2026-07-03,2025-07-04,04. Grupos Realizados,334.0,394.0
2026-07-03,2025-07-04,05. Pax Total,1064.0,1215.0
2026-07-03,2025-07-04,06. ASK,7696956.0,8855963.0
2026-07-03,2025-07-04,07. RPK,534281.0,605402.0
2026-07-03,2025-07-04,08. Load Factor,0.06941458415508676,0.0683609450491155
2026-07-03,2025-07-04,09. Ticket Médio,102.87587406015037,109.17438683127573
2026-07-03,2025-07-04,10. GMV,114026.59999999999,138336.39
2026-07-04,2025-07-05,01. RASK,0.01304789387651775,0.010608196173943698
2026-07-04,2025-07-05,02. Yield,0.18639742774077683,0.21099465131022022
2026-07-04,2025-07-05,03. Buscas,4331.0,3691.0
2026-07-04,2025-07-05,04. Grupos Realizados,179.0,259.0
2026-07-04,2025-07-05,05. Pax Total,549.0,528.0
2026-07-04,2025-07-05,06. ASK,3681598.0,5310063.0
2026-07-04,2025-07-05,07. RPK,248342.0,263429.0
2026-07-04,2025-07-05,08. Load Factor,0.06745494755266598,0.04960939258159461
2026-07-04,2025-07-05,09. Ticket Médio,84.31750455373405,105.26914772727272
2026-07-04,2025-07-05,10. GMV,48037.100000000006,56330.189999999995
2026-07-05,2025-07-06,01. RASK,0.015714666066420094,0.019578907176700754
2026-07-05,2025-07-06,02. Yield,0.23215383154315886,0.2434595839466306
2026-07-05,2025-07-06,03. Buscas,7367.0,9136.0
2026-07-05,2025-07-06,04. Grupos Realizados,343.0,415.0
2026-07-05,2025-07-06,05. Pax Total,1062.0,1425.0
2026-07-05,2025-07-06,06. ASK,7970058.0,9088020.0
2026-07-05,2025-07-06,07. RPK,526485.0,714716.0
2026-07-05,2025-07-06,08. Load Factor,0.06605786306699399,0.07864375298469854
2026-07-05,2025-07-06,09. Ticket Médio,115.08993408662901,122.10839298245615
2026-07-05,2025-07-06,10. GMV,125246.79999999999,177933.5
2026-07-06,2025-07-07,01. RASK,0.008548332511134533,0.011174937088295643
2026-07-06,2025-07-07,02. Yield,0.1973740524941095,0.19865416847010292
2026-07-06,2025-07-07,03. Buscas,5272.0,4870.0
2026-07-06,2025-07-07,04. Grupos Realizados,272.0,353.0
2026-07-06,2025-07-07,05. Pax Total,517.0,842.0
2026-07-06,2025-07-07,06. ASK,6456265.0,7990564.0
2026-07-06,2025-07-07,07. RPK,273745.0,434356.0
2026-07-06,2025-07-07,08. Load Factor,0.04239990149103235,0.05435861598755733
2026-07-06,2025-07-07,09. Ticket Médio,104.50707930367504,102.47818289786225
2026-07-06,2025-07-07,10. GMV,55190.299999999996,89294.04999999999
2026-07-07,2025-07-08,01. RASK,0.01003339834780549,0.0093677649454516
2026-07-07,2025-07-08,02. Yield,0.1729936368326659,0.20085298492402218
2026-07-07,2025-07-08,03. Buscas,2805.0,2838.0
2026-07-07,2025-07-08,04. Grupos Realizados,172.0,251.0
2026-07-07,2025-07-08,05. Pax Total,444.0,484.0
2026-07-07,2025-07-08,06. ASK,4361593.0,5927305.0
2026-07-07,2025-07-08,07. RPK,244218.0,267578.0
2026-07-07,2025-07-08,08. Load Factor,0.05599284481610274,0.045143281811885844
2026-07-07,2025-07-08,09. Ticket Médio,95.15351351351352,111.0409917355372
2026-07-07,2025-07-08,10. GMV,43761.6,55525.6
2026-07-08,2025-07-09,01. RASK,0.011039497466037754,0.019383272675658623
2026-07-08,2025-07-09,02. Yield,0.19032151176729492,0.21596410756700116
2026-07-08,2025-07-09,03. Buscas,3444.0,5545.0
2026-07-08,2025-07-09,04. Grupos Realizados,192.0,258.0
2026-07-08,2025-07-09,05. Pax Total,513.0,950.0
2026-07-08,2025-07-09,06. ASK,4921936.0,6143493.0
2026-07-08,2025-07-09,07. RPK,279461.0,525849.0
2026-07-08,2025-07-09,08. Load Factor,0.05677867408271867,0.08559446555892551
2026-07-08,2025-07-09,09. Ticket Médio,103.6792202729045,119.54158947368421
2026-07-08,2025-07-09,10. GMV,54335.70000000001,119081.00000000001
2026-07-09,2025-07-10,01. RASK,0.012042957346855456,0.014415650931357127
2026-07-09,2025-07-10,02. Yield,0.20159436676370968,0.20770569987063847
2026-07-09,2025-07-10,03. Buscas,6187.0,5248.0
2026-07-09,2025-07-10,04. Grupos Realizados,280.0,364.0
2026-07-09,2025-07-10,05. Pax Total,743.0,1030.0
2026-07-09,2025-07-10,06. ASK,7034792.0,8403436.0
2026-07-09,2025-07-10,07. RPK,407723.0,565083.0
2026-07-09,2025-07-10,08. Load Factor,0.057958074666599954,0.06724427960182001
2026-07-09,2025-07-10,09. Ticket Médio,110.62538358008077,113.95238834951455
2026-07-09,2025-07-10,10. GMV,84719.69999999998,121141.0
2026-07-10,2025-07-11,01. RASK,0.01348732645328573,0.014389510309416851
2026-07-10,2025-07-11,02. Yield,0.224501731508783,0.22359140139260558
2026-07-10,2025-07-11,03. Buscas,9019.0,8186.0
2026-07-10,2025-07-11,04. Grupos Realizados,344.0,431.0
2026-07-10,2025-07-11,05. Pax Total,875.0,1104.0
2026-07-10,2025-07-11,06. ASK,8063607.0,9676396.0
2026-07-10,2025-07-11,07. RPK,470399.0,600888.0
2026-07-10,2025-07-11,08. Load Factor,0.058336052339852375,0.062098326691053155
2026-07-10,2025-07-11,09. Ticket Médio,120.69187428571429,121.69691123188407
2026-07-10,2025-07-11,10. GMV,108756.5,139238.6
2026-07-11,2025-07-12,01. RASK,0.014957444240897759,0.010568128774280395
2026-07-11,2025-07-12,02. Yield,0.2000722450393389,0.20509094972780537
2026-07-11,2025-07-12,03. Buscas,4310.0,3419.0
2026-07-11,2025-07-12,04. Grupos Realizados,183.0,300.0
2026-07-11,2025-07-12,05. Pax Total,575.0,591.0
2026-07-11,2025-07-12,06. ASK,3861522.0,6264108.0
2026-07-11,2025-07-12,07. RPK,282926.0,313195.0
2026-07-11,2025-07-12,08. Load Factor,0.07326800158072387,0.04999833974765441
2026-07-11,2025-07-12,09. Ticket Médio,98.44459130434784,108.68605752961084
2026-07-11,2025-07-12,10. GMV,57758.5,66199.9
2026-07-12,2025-07-13,01. RASK,0.013975563122767652,0.01739932532152646
2026-07-12,2025-07-13,02. Yield,0.2386824001428406,0.2649299622468105
2026-07-12,2025-07-13,03. Buscas,7334.0,7774.0
2026-07-12,2025-07-13,04. Grupos Realizados,350.0,453.0
2026-07-12,2025-07-13,05. Pax Total,943.0,1247.0
2026-07-12,2025-07-13,06. ASK,8287802.0,9922356.0
2026-07-12,2025-07-13,07. RPK,476055.0,635443.0
2026-07-12,2025-07-13,08. Load Factor,0.057440440782731056,0.06404154416551876
2026-07-12,2025-07-13,09. Ticket Médio,120.4941145281018,135.00231756214916
2026-07-12,2025-07-13,10. GMV,115826.7,172642.29999999996
2026-07-13,2025-07-14,01. RASK,0.009720855951658848,0.011005832115139506
2026-07-13,2025-07-14,02. Yield,0.20266814052069537,0.2044188157402958
2026-07-13,2025-07-14,03. Buscas,5083.0,4391.0
2026-07-13,2025-07-14,04. Grupos Realizados,265.0,375.0
2026-07-13,2025-07-14,05. Pax Total,573.0,824.0
2026-07-13,2025-07-14,06. ASK,6512050.0,8544070.0
2026-07-13,2025-07-14,07. RPK,301251.0,449496.0
2026-07-13,2025-07-14,08. Load Factor,0.04626054775377953,0.052609119541389526
2026-07-13,2025-07-14,09. Ticket Médio,106.55144851657941,111.51145631067963
2026-07-13,2025-07-14,10. GMV,63302.700000000004,94034.59999999998
2026-07-14,2025-07-15,01. RASK,0.009957969921211585,0.011478931089214352
2026-07-14,2025-07-15,02. Yield,0.19356847629419383,0.20735422484978178
2026-07-14,2025-07-15,03. Buscas,3152.0,2744.0
2026-07-14,2025-07-15,04. Grupos Realizados,181.0,262.0
2026-07-14,2025-07-15,05. Pax Total,417.0,570.0
2026-07-14,2025-07-15,06. ASK,4656903.0,6156061.0
2026-07-14,2025-07-15,07. RPK,233234.0,330852.0
2026-07-14,2025-07-15,08. Load Factor,0.05008349969926365,0.05374410682415265
2026-07-14,2025-07-15,09. Ticket Médio,108.26558752997602,120.35712280701755
2026-07-14,2025-07-15,10. GMV,46373.3,70665.0
2026-07-15,2025-07-16,01. RASK,0.013185831643985343,0.013281499731597467
2026-07-15,2025-07-16,02. Yield,0.19442338323296293,0.20978668124557714
2026-07-15,2025-07-16,03. Buscas,3903.0,4278.0
2026-07-15,2025-07-16,04. Grupos Realizados,184.0,270.0
2026-07-15,2025-07-16,05. Pax Total,531.0,672.0
2026-07-15,2025-07-16,06. ASK,4754793.0,6428777.0
2026-07-15,2025-07-16,07. RPK,315166.0,391433.0
2026-07-15,2025-07-16,08. Load Factor,0.06628385294585905,0.060887630726652986
2026-07-15,2025-07-16,09. Ticket Médio,115.39668549905838,122.19855654761903
2026-07-15,2025-07-16,10. GMV,62695.90000000001,85383.79999999999
