metrica,corpus_2025,pascoa_2026,maio_2026,corpus_2026
01. RASK,0.1136221186724448,0.14678927404620967,0.1496621216720026,0.14154138840756356
02. Yield,0.2583243377432085,0.31922830222856413,0.31326823835008627,0.31018704770565164
03. Buscas,314370.0,282365.0,363065.0,266342.0
04. Grupos Realizados,2544.0,1993.0,2082.0,2300.0
05. Pax Total,54106.0,43012.0,46870.0,48261.0
06. ASK,59029474.0,44960589.0,46731408.0,51260078.0
07. RPK,25369653.0,19868711.0,21523164.0,22482179.0
08. Load Factor,0.4297794183292231,0.4419139393391844,0.4605716994446219,0.4385904172834072
09. Ticket Médio,121.12517669020075,147.46244954896295,143.85584958395555,144.49930026315238
10. GMV,6707053.899999995,6599732.219999992,6993921.670000005,7255422.610000003
