regional,slot,data,data_ref_corpus_2025,data_ref_pascoa_2026,data_ref_maio_2026,metrica,corpus_2025,pascoa_2026,maio_2026,atual
Reg. MG,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,01. RASK,0.06489337417502077,0.1553547143127699,0.11744023034878469,0.08368031570432527
Reg. MG,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,02. Yield,0.21106250636534685,0.3257661101424529,0.26905036787257597,0.23961110930587728
Reg. MG,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,03. Grupos Realizados,118.0,117.0,102.0,122.0
Reg. MG,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,04. Pax Total,1824.0,2765.0,2168.0,1992.0
Reg. MG,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,05. ASK,3135685.0,3152241.0,2768671.0,3267361.0
Reg. MG,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,06. RPK,932785.0,1443004.0,1167252.0,1077115.0
Reg. MG,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,07. Load Factor,0.2974740766371622,0.4577708366841241,0.42159288698440517,0.32965901227320765
Reg. MG,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,08. Ticket Médio,107.9363706140351,170.01150090415913,144.85681734317347,129.56261044176705
Reg. MG,geral,2026-06-02,2025-06-17,2026-04-01,2026-04-29,09. GMV,203485.18,489715.4999999999,325153.3600000001,273413.7999999999
Reg. MG,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,01. RASK,0.15659680997353345,0.17248125636771447,0.19218826838524558,0.20892200252310436
Reg. MG,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,02. Yield,0.29203568633807203,0.34040539096753614,0.3653371305062508,0.35955208080181844
Reg. MG,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,03. Grupos Realizados,252.0,160.0,179.0,184.0
Reg. MG,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,04. Pax Total,6760.0,3896.0,4585.0,5154.0
Reg. MG,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,05. ASK,6584146.0,4179286.0,4633906.0,4804399.0
Reg. MG,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,06. RPK,3442662.0,1993631.0,2333666.0,2658158.0
Reg. MG,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,07. Load Factor,0.5228714551591049,0.47702669786178786,0.5036066765273184,0.5532758623919454
Reg. MG,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,08. Ticket Médio,148.72487573964494,174.18961498973306,185.9487110141767,185.43776484284052
Reg. MG,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,09. GMV,1031056.26,720848.4999999999,890582.3699999999,1003744.6599999999
Reg. MG,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,01. RASK,0.04891724503069978,0.04253142571125021,0.05042729372864964,0.0665133865713171
Reg. MG,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,02. Yield,0.19873693664975142,0.21389060467288737,0.2229035993573121,0.23419004284314673
Reg. MG,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,03. Grupos Realizados,156.0,131.0,138.0,152.0
Reg. MG,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,04. Pax Total,1896.0,1282.0,1574.0,2134.0
