regional,slot,data,data_ref_julho_2025,metrica,julho_2025,atual
Reg. MG,geral,2026-07-02,2025-07-03,01. RASK,0.016806410592947275,0.01905830760495272
Reg. MG,geral,2026-07-02,2025-07-03,02. Yield,0.194406429524749,0.21778009536045004
Reg. MG,geral,2026-07-02,2025-07-03,03. Grupos Realizados,116.0,151.0
Reg. MG,geral,2026-07-02,2025-07-03,04. Pax Total,467.0,585.0
Reg. MG,geral,2026-07-02,2025-07-03,05. ASK,3131442.0,4010163.0
Reg. MG,geral,2026-07-02,2025-07-03,06. RPK,258495.0,337037.0
Reg. MG,geral,2026-07-02,2025-07-03,07. Load Factor,0.08254823177309367,0.08404571086013211
Reg. MG,geral,2026-07-02,2025-07-03,08. Ticket Médio,107.60832976445397,125.47000000000001
Reg. MG,geral,2026-07-02,2025-07-03,09. GMV,52628.3,76426.92
Reg. MG,geral,2026-07-03,2025-07-04,01. RASK,0.018325813584532846,0.016563451809968117
Reg. MG,geral,2026-07-03,2025-07-04,02. Yield,0.21709788591121854,0.2189105368284242
Reg. MG,geral,2026-07-03,2025-07-04,03. Grupos Realizados,141.0,171.0
Reg. MG,geral,2026-07-03,2025-07-04,04. Pax Total,563.0,578.0
Reg. MG,geral,2026-07-03,2025-07-04,05. ASK,3633765.0,4418227.0
Reg. MG,geral,2026-07-03,2025-07-04,06. RPK,291615.0,323921.0
Reg. MG,geral,2026-07-03,2025-07-04,07. Load Factor,0.08025147471011472,0.07331470293400498
Reg. MG,geral,2026-07-03,2025-07-04,08. Ticket Médio,112.449378330373,122.68117647058824
Reg. MG,geral,2026-07-03,2025-07-04,09. GMV,66591.7,73181.09
Reg. MG,geral,2026-07-04,2025-07-05,01. RASK,0.013976061357923916,0.012569046543409023
Reg. MG,geral,2026-07-04,2025-07-05,02. Yield,0.20852164889017005,0.21309033600862484
Reg. MG,geral,2026-07-04,2025-07-05,03. Grupos Realizados,54.0,89.0
Reg. MG,geral,2026-07-04,2025-07-05,04. Pax Total,167.0,240.0
Reg. MG,geral,2026-07-04,2025-07-05,05. ASK,1361063.0,2304279.0
Reg. MG,geral,2026-07-04,2025-07-05,06. RPK,86725.0,133568.0
Reg. MG,geral,2026-07-04,2025-07-05,07. Load Factor,0.0637185787873155,0.05796520299842163
Reg. MG,geral,2026-07-04,2025-07-05,08. Ticket Médio,108.28766467065869,118.59187500000002
Reg. MG,geral,2026-07-04,2025-07-05,09. GMV,19022.3,28962.589999999997
Reg. MG,geral,2026-07-05,2025-07-06,01. RASK,0.018500098890243555,0.021450329295926364
Reg. MG,geral,2026-07-05,2025-07-06,02. Yield,0.24632760676685425,0.24799720872695746
Reg. MG,geral,2026-07-05,2025-07-06,03. Grupos Realizados,142.0,176.0
Reg. MG,geral,2026-07-05,2025-07-06,04. Pax Total,534.0,685.0
Reg. MG,geral,2026-07-05,2025-07-06,05. ASK,3751634.0,4491249.0
Reg. MG,geral,2026-07-05,2025-07-06,06. RPK,274219.0,378322.0
Reg. MG,geral,2026-07-05,2025-07-06,07. Load Factor,0.07309321751535464,0.0842353652625361
Reg. MG,geral,2026-07-05,2025-07-06,08. Ticket Médio,126.49383895131085,136.96759124087592
Reg. MG,geral,2026-07-05,2025-07-06,09. GMV,69405.59999999999,96338.77
Reg. MG,geral,2026-07-06,2025-07-07,01. RASK,0.008621757437866858,0.012050937329597803
Reg. MG,geral,2026-07-06,2025-07-07,02. Yield,0.20995813779447764,0.19628487454699936
Reg. MG,geral,2026-07-06,2025-07-07,03. Grupos Realizados,119.0,149.0
Reg. MG,geral,2026-07-06,2025-07-07,04. Pax Total,235.0,405.0
Reg. MG,geral,2026-07-06,2025-07-07,05. ASK,3197086.0,3935542.0
Reg. MG,geral,2026-07-06,2025-07-07,06. RPK,128278.0,230684.0
Reg. MG,geral,2026-07-06,2025-07-07,07. Load Factor,0.040123412382400726,0.05861556044885304
Reg. MG,geral,2026-07-06,2025-07-07,08. Ticket Médio,114.60855319148935,111.80192592592594
Reg. MG,geral,2026-07-06,2025-07-07,09. GMV,27564.5,47426.97
Reg. MG,geral,2026-07-07,2025-07-08,01. RASK,0.00970476377639817,0.011907783966662543
Reg. MG,geral,2026-07-07,2025-07-08,02. Yield,0.18060564195433412,0.20532807167735806
Reg. MG,geral,2026-07-07,2025-07-08,03. Grupos Realizados,76.0,111.0
Reg. MG,geral,2026-07-07,2025-07-08,04. Pax Total,188.0,285.0
Reg. MG,geral,2026-07-07,2025-07-08,05. ASK,2050663.0,3029625.0
Reg. MG,geral,2026-07-07,2025-07-08,06. RPK,107126.0,170542.0
Reg. MG,geral,2026-07-07,2025-07-08,07. Load Factor,0.05223969028553205,0.056291455213103934
Reg. MG,geral,2026-07-07,2025-07-08,08. Ticket Médio,102.91255319148937,122.86687719298247
Reg. MG,geral,2026-07-07,2025-07-08,09. GMV,19901.2,36076.119999999995
Reg. MG,geral,2026-07-08,2025-07-09,01. RASK,0.012813053177894562,0.017307038832183756
Reg. MG,geral,2026-07-08,2025-07-09,02. Yield,0.19817000054135991,0.20711889126077532
Reg. MG,geral,2026-07-08,2025-07-09,03. Grupos Realizados,83.0,112.0
Reg. MG,geral,2026-07-08,2025-07-09,04. Pax Total,253.0,410.0
Reg. MG,geral,2026-07-08,2025-07-09,05. ASK,2348363.0,3069387.0
Reg. MG,geral,2026-07-08,2025-07-09,06. RPK,147776.0,245468.0
Reg. MG,geral,2026-07-08,2025-07-09,07. Load Factor,0.06292723910230233,0.07997297180186141
Reg. MG,geral,2026-07-08,2025-07-09,08. Ticket Médio,115.7500790513834,124.00258536585368
Reg. MG,geral,2026-07-08,2025-07-09,09. GMV,30089.7,53122.00000000001
Reg. MG,geral,2026-07-09,2025-07-10,01. RASK,0.013190372365859257,0.014843193726361082
Reg. MG,geral,2026-07-09,2025-07-10,02. Yield,0.2075661825991471,0.211510366523384
Reg. MG,geral,2026-07-09,2025-07-10,03. Grupos Realizados,134.0,163.0
Reg. MG,geral,2026-07-09,2025-07-10,04. Pax Total,401.0,531.0
Reg. MG,geral,2026-07-09,2025-07-10,05. ASK,3668274.0,4322850.0
Reg. MG,geral,2026-07-09,2025-07-10,06. RPK,226759.0,294988.0
Reg. MG,geral,2026-07-09,2025-07-10,07. Load Factor,0.06181626563337417,0.06823924031599524
Reg. MG,geral,2026-07-09,2025-07-10,08. Ticket Médio,117.37531172069828,117.50097928436912
Reg. MG,geral,2026-07-09,2025-07-10,09. GMV,48385.9,64164.899999999994
Reg. MG,geral,2026-07-10,2025-07-11,01. RASK,0.016221882175977934,0.01800707938559494
Reg. MG,geral,2026-07-10,2025-07-11,02. Yield,0.238478537312755,0.23456077940499165
Reg. MG,geral,2026-07-10,2025-07-11,03. Grupos Realizados,154.0,185.0
Reg. MG,geral,2026-07-10,2025-07-11,04. Pax Total,477.0,624.0
Reg. MG,geral,2026-07-10,2025-07-11,05. ASK,3996842.0,4784596.0
Reg. MG,geral,2026-07-10,2025-07-11,06. RPK,264226.0,353911.0
Reg. MG,geral,2026-07-10,2025-07-11,07. Load Factor,0.06610869281297585,0.07396883665830929
Reg. MG,geral,2026-07-10,2025-07-11,08. Ticket Médio,132.10111111111112,133.0346794871795
Reg. MG,geral,2026-07-10,2025-07-11,09. GMV,64836.29999999999,86156.6
Reg. MG,geral,2026-07-11,2025-07-12,01. RASK,0.020690031485228376,0.012759222600985347
Reg. MG,geral,2026-07-11,2025-07-12,02. Yield,0.23159111524595885,0.21332373709940253
Reg. MG,geral,2026-07-11,2025-07-12,03. Grupos Realizados,58.0,100.0
Reg. MG,geral,2026-07-11,2025-07-12,04. Pax Total,251.0,268.0
Reg. MG,geral,2026-07-11,2025-07-12,05. ASK,1475295.0,2529872.0
Reg. MG,geral,2026-07-11,2025-07-12,06. RPK,128985.0,147280.0
Reg. MG,geral,2026-07-11,2025-07-12,07. Load Factor,0.08742997163279209,0.058216384070024094
Reg. MG,geral,2026-07-11,2025-07-12,08. Ticket Médio,119.01107569721115,117.23253731343283
Reg. MG,geral,2026-07-11,2025-07-12,09. GMV,30523.899999999998,32279.199999999997
Reg. MG,geral,2026-07-12,2025-07-13,01. RASK,0.015273310724023761,0.017847070128668582
Reg. MG,geral,2026-07-12,2025-07-13,02. Yield,0.256745871841867,0.27559553097187783
Reg. MG,geral,2026-07-12,2025-07-13,03. Grupos Realizados,152.0,190.0
Reg. MG,geral,2026-07-12,2025-07-13,04. Pax Total,417.0,565.0
Reg. MG,geral,2026-07-12,2025-07-13,05. ASK,3974469.0,4868166.0
Reg. MG,geral,2026-07-12,2025-07-13,06. RPK,230793.0,309329.0
Reg. MG,geral,2026-07-12,2025-07-13,07. Load Factor,0.05806888920255762,0.06354117751941901
Reg. MG,geral,2026-07-12,2025-07-13,08. Ticket Médio,142.09868105515588,150.884407079646
Reg. MG,geral,2026-07-12,2025-07-13,09. GMV,60703.30000000001,86882.5
Reg. MG,geral,2026-07-13,2025-07-14,01. RASK,0.012506091294031688,0.012439289178595967
Reg. MG,geral,2026-07-13,2025-07-14,02. Yield,0.21019773596401042,0.20559334922078332
Reg. MG,geral,2026-07-13,2025-07-14,03. Grupos Realizados,121.0,165.0
Reg. MG,geral,2026-07-13,2025-07-14,04. Pax Total,327.0,444.0
Reg. MG,geral,2026-07-13,2025-07-14,05. ASK,3197186.0,4332959.0
Reg. MG,geral,2026-07-13,2025-07-14,06. RPK,183831.0,255128.0
Reg. MG,geral,2026-07-13,2025-07-14,07. Load Factor,0.05749774958354002,0.05888077870111395
Reg. MG,geral,2026-07-13,2025-07-14,08. Ticket Médio,118.16776758409786,118.13653153153152
Reg. MG,geral,2026-07-13,2025-07-14,09. GMV,39984.3,53898.93000000001
Reg. MG,geral,2026-07-14,2025-07-15,01. RASK,0.01255650824699996,0.014290697863901936
Reg. MG,geral,2026-07-14,2025-07-15,02. Yield,0.2163691167649895,0.2160937522910221
Reg. MG,geral,2026-07-14,2025-07-15,03. Grupos Realizados,86.0,120.0
Reg. MG,geral,2026-07-14,2025-07-15,04. Pax Total,234.0,357.0
Reg. MG,geral,2026-07-14,2025-07-15,05. ASK,2348551.0,3191052.0
Reg. MG,geral,2026-07-14,2025-07-15,06. RPK,131709.0,204603.0
Reg. MG,geral,2026-07-14,2025-07-15,07. Load Factor,0.0560809622614114,0.06411772669326604
