data_julho_2026,data_ref_julho_2025,eixo_sentido,rota_principal,antecedencia,pax_atual,grupos_atual,cash_atual,gmv_atual,pax_julho25,grupos_julho25,cash_julho25,gmv_julho25,ticket_medio_atual,lf_atual,yield_atual,ticket_medio_julho25,lf_julho25
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,44,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,44,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,43,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,43,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,42,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,42,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,41,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,41,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,40,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,40,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,39,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,39,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,38,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,38,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,37,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,37,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,36,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,36,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,35,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,35,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,34,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,34,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,33,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,33,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,32,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,32,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,31,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,31,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,30,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,30,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,29,2,1,273.8,273.8,0,0,0.0,0.0,136.9,0.047,0.205,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,29,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,28,0,1,0.0,0.0,0,0,0.0,0.0,,0.0,,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,28,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,27,13,1,1779.59,1920.7,1,1,126.9,126.9,136.89153846153846,0.233,0.256,126.9,0.017
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,27,0,1,0.0,0.0,0,0,0.0,0.0,,0.0,,,
2026-07-02,2025-07-03,BHZ-ANG,ANG-BHZ,26,14,1,1970.49,2111.6,3,1,448.7,448.7,140.74928571428572,0.25,0.265,149.56666666666666,0.06
2026-07-02,2025-07-03,ANG-BHZ,ANG-BHZ,26,0,1,0.0,0.0,0,0,0.0,0.0,,0.0,,,
