data,data_ref,eixo_sentido,rota_principal,antecedencia,pax_atual,pax_referencia,diff_pax,grupos_atual,grupos_referencia,cash_atual,cash_referencia,gmv_atual,gmv_referencia,ticket_medio_atual,ticket_medio_referencia,lf_atual,lf_referencia,yield_atual,yield_referencia
2026-06-03,2026-04-01,ANG-BHZ,ANG-BHZ,29,0,0,0,1,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,
2026-06-03,2026-04-01,BHZ-ANG,ANG-BHZ,29,1,8,-7,2,1,128.9,906.2,128.9,906.2,128.9,113.275,0.008,0.149,0.231,0.219
2026-06-03,2026-04-01,ANG-BHZ,ANG-BHZ,28,2,0,2,1,1,273.8,0.0,273.8,0.0,136.9,,0.043,0.0,0.205,
2026-06-03,2026-04-01,BHZ-ANG,ANG-BHZ,28,7,10,-3,2,1,956.52,1208.0,985.3,1208.0,140.75714285714284,120.8,0.067,0.195,0.221,0.222
2026-06-03,2026-04-01,BHZ-ANG,ANG-BHZ,27,13,14,-1,2,1,1845.92,1751.24,1874.7,1811.6,144.2076923076923,129.4,0.118,0.288,0.238,0.226
2026-06-03,2026-04-01,ANG-BHZ,ANG-BHZ,27,2,0,2,1,1,273.8,0.0,273.8,0.0,136.9,,0.043,0.0,0.205,
2026-06-03,2026-04-01,BHZ-ANG,ANG-BHZ,26,14,16,-2,2,1,1996.82,2181.04,2025.6,2241.4,144.68571428571428,140.0875,0.128,0.335,0.237,0.24
2026-06-03,2026-04-01,ANG-BHZ,ANG-BHZ,26,2,0,2,1,1,273.8,0.0,273.8,0.0,136.9,,0.043,0.0,0.205,
2026-06-03,2026-04-01,ANG-BHZ,ANG-BHZ,25,2,0,2,1,1,273.8,0.0,273.8,0.0,136.9,,0.043,0.0,0.205,
2026-06-03,2026-04-01,BHZ-ANG,ANG-BHZ,25,17,16,1,2,1,2449.52,2181.04,2478.3,2241.4,145.78235294117647,140.0875,0.157,0.335,0.237,0.24
2026-06-03,2026-04-01,ANG-BHZ,ANG-BHZ,24,3,0,3,1,1,416.7,0.0,416.7,0.0,138.9,,0.062,0.0,0.218,
